Name,Company,LinkedIN
Smt. Nirmala Sitharaman,Government of India,na
Dr. Bhagwat Kishanrao Karad,Government of India,na
Shri Shaktikanta Das,Reserve Bank of India,na
Shri Devendra Fadnavis,Maharashtra,na
Smt. Madhabi Puri Buch,Securities and Exchange Board of India,na
Shri K Rajaraman,International Financial Services Centre Authority,na
Shri Debasish Panda,Insurance Regulatory and Development Authority of India,na
Shri Tusharkanti Behera,Government of Odisha,na
Dr. Vivek Joshi,"Ministry of Finance, Government of India",na
Shri Sumnesh Joshi,Government of India,Government of India
Shri T Rabi Sankar,Reserve Bank of India,na
Hon. Soraya M Hakuziyaremye,National Bank of Rwanda,https://www.linkedin.com/in/soraya-m-hakuziyaremye-2017581/?originalSubdomain=rw
Shri Ajay Kumar Choudhary,Reserve bank of India,na
Shri P Vasudevan,Reserve Bank of India,na
Shri Dinesh Kumar Khara,State Bank of India,na
Deepak Parekh,HDFC Limited,https://www.linkedin.com/in/deepak-parekh-5889aa226/?originalSubdomain=in
K V Kamath,National Bank for Financing Infrastructure and Development,na
S N Subrahmanyan,Larsen and Toubro Limited,na
Aleksi Grym,Bank of Finland,https://fi.linkedin.com/in/aleksigrym
Eduardo Enrique Torres Llosa Villacorta,Central Bank of Peru,https://www.linkedin.com/in/eduardo-torres-llosa-501774141/?originalSubdomain=pe
H.E. Khaled Albasias,Saudi Central Bank (SAMA),na
Professor Dr.Joachim Wuermeling,Deutsche Bundesbank,https://de.linkedin.com/in/prof-dr-joachim-wuermeling-3a635a17
Kris Gopalakrishnan,Infosys,https://in.linkedin.com/in/kris-gopalakrishnan-10b49950
Thomas Kurian,Google Cloud,https://www.linkedin.com/in/thomas-kurian-469b6219/
Shri Suvendu Pati,Reserve Bank of India (RBI),na
Andy White,Australian Payments Network (AusPayNet),linkedin.com/in/amswhite
Doris Dietze,German Federal Ministry of Finance,https://www.linkedin.com/in/doris-dietze-250169187/
Masaki Bessho,Bank of Japan,https://jp.linkedin.com/in/masaki-bessho-a518a613
Chris Winter,Discover Financial Services,https://www.linkedin.com/in/chris-winter-829297/
Cecilia Skingsley,Bank for International Settlements,https://www.linkedin.com/in/cecilia-skingsley-0a88376/
Dilip Asbe,National Payments Corporation of India (NPCI),https://in.linkedin.com/in/dilip-asbe-0185453
Shri Rajesh Bansal,Reserve Bank Innovation Hub,https://in.linkedin.com/in/rajesh-bansal-b81b8655
Shri T Koshy,Open Network for Digital Commerce (ONDC),https://www.linkedin.com/in/koshy89/?originalSubdomain=in
Vladyslav Yatsenko,Revolut,https://www.linkedin.com/in/yatsenko/?originalSubdomain=uk
Yoshiki Kaneko,JCB International,https://www.linkedin.com/in/yoshiki-kaneko-93ab7210/
Amitabh Chaudhry,Axis Bank,https://in.linkedin.com/in/amitabh-chaudhry-7b560b1
G Padmanabhan,Reserve Bank of India and Ex Chairman of Bank of India,na
Gen Tsuchikawa,Sony Ventures Corporation,https://www.linkedin.com/in/gen-tsuchikawa-7952231b/
Jordan McKee,"451 Research, a part of S and P Global Market Intelligence",https://www.linkedin.com/in/jordanmckee/
Xavier Faz,CGAP,https://www.linkedin.com/in/xavierfaz?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAAgfhwB2NGrSVRl-BYOCE8pMOe4Li6rmis&amp;lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_all%3BYuxJr88nQb%2BC4WBx%2BWAT8Q%3D%3D
Avnish Bajaj,Matrix Partners India,https://www.linkedin.com/in/avnish-bajaj-47b385/
Karl Mehta,The Quad Investors Network,https://www.linkedin.com/in/mehtakarl/
Sameer Nigam,PhonePe,https://www.linkedin.com/in/sanigam/
Shri K Vijayakumar,Reserve Bank of India,https://www.linkedin.com/in/vijayakumar-kandiyil-670522230/?originalSubdomain=in
Camilla Bullock,Emerging Payments Association Asia,https://au.linkedin.com/in/camillaolofsson
H.E. Majell Hind,"Department of Foreign Affairs and Trade, Australian Government",na
Michael Mbuthia,AfricaNenda,https://www.linkedin.com/in/michael-mbuthia-979a9123/
Rajan Anandan,Peak XV,https://www.linkedin.com/in/rajan-anandan-2481b814
Shri Challa Sreenivasulu Setty,State Bank of India,https://www.linkedin.com/in/challa-sreenivasulu-setty-53514316b/?originalSubdomain=in
Shri Rana Ashutosh Kumar Singh,State Bank of India,https://www.linkedin.com/in/rana-ashutosh-kumar-singh-36966931/?originalSubdomain=in
Honor Gunday,"Paymentwall, Inc",https://www.linkedin.com/in/honor/
Suresh Sethi,Protean eGov Technologies Ltd.,https://www.linkedin.com/in/sureshsethi/
"Shri Ajit Kesari,IAS",Government of Madhya Pradesh,na
Shri B Sunil Kumar Reddy IFS,Andhra Pradesh Centre for Financial  Systems and Services,https://www.linkedin.com/in/sunil-kumar-91767067/?originalSubdomain=in
"Shri Debashis Sen,IAS",HIDCO,na
Shri Manoj Kumar Mishra,Government of Odisha,https://www.linkedin.com/in/manoj-kumar-mishra-93a00b119/?originalSubdomain=in
Dr.Amar Patnaik,Odhisha,na
"Shri Navdeep Virk, IPS",Government of Haryana,https://www.linkedin.com/in/nsvirk/?originalSubdomain=in
Dr Omkar Rai,Startup Odisha,linkedin.com/in/dromkarrai
Shri Viplove K,Telangana,https://www.linkedin.com/in/viplovekurakula/?originalSubdomain=in
"Dr Sanjay Mukherjee,IAS",MMRDA,https://www.linkedin.com/in/dr-sanjay-mukherjee-ias-b81b1211/?originalSubdomain=in
"Shri Vishal Kumar Dev,IAS",Odisha Finance,na
Shri Chian-Leng Toh,Discover,na
